MSI URLs to be Redirected (exisiting and working in MSI side),Zebra Vanity URLs (To Be Created),"NewCo Zebra URL (existing, not prod in CQ)",Added to CQ
,www.zebra.com/lssoftware,us/en/products/location-solutions/software.html,
,www.zebra.com/rtlssoftware,us/en/products/location-solutions/software.html,
,www.zebra.com/materialflow,us/en/products/location-solutions/software/material-flow.html,
,www.zebra.com/systembuilder,us/en/products/location-solutions/software/system-builder.html,
,www.zebra.com/vehicletracking,us/en/products/location-solutions/software/vehicle-tracking-management.html,
,www.zebra.com/visibilityserver,us/en/products/location-solutions/software/visibility-server-software.html,
,www.zebra.com/yardmanagement,us/en/products/location-solutions/software/yard-management-software.html,
,www.zebra.com/wherenet,us/en/products/location-solutions/wherenet.html,
,www.zebra.com/wherecall,us/en/products/location-solutions/wherenet/wherecall.html,
,www.zebra.com/wherelan,us/en/products/location-solutions/wherenet/wherelan.html,
,www.zebra.com/whereport,us/en/products/location-solutions/wherenet/whereport.html,
,www.zebra.com/wheretag,us/en/products/location-solutions/wherenet/wheretag.html,
,www.zebra.com/wherewand,us/en/products/location-solutions/wherenet/wherewand.html,
www.motorolasolutions.com/MobileComputers,www.zebra.com/mobilecomputers,us/en/products/mobile-computers.html,
,www.zebra.com/handheldcomputers,us/en/products/mobile-computers/handheld.html,
www.motorolasolutions.com/ep10,www.zebra.com/ep10,us/en/products/mobile-computers/handheld/ep10.html,
www.motorola.com/mc17,www.zebra.com/mc17,us/en/products/mobile-computers/handheld/mc17.html,
www.motorola.com/mc18,www.zebra.com/mc18,us/en/products/mobile-computers/handheld/mc18.html,
www.motorolasolutions.com/mc2100 ,www.zebra.com/mc2100,us/en/products/mobile-computers/handheld/mc2100.html,
www.motorola.com/mc3100,www.zebra.com/mc3100,us/en/products/mobile-computers/handheld/mc3100.html,
www.motorolasolutions.com/MC3200,www.zebra.com/mc3200,us/en/products/mobile-computers/handheld/mc3200.html,
www.motorolasolutions.com/mc40hc,www.zebra.com/mc40hc,us/en/products/mobile-computers/handheld/mc40-hc.html,
www.motorolasolutions.com/mc40,www.zebra.com/mc40,us/en/products/mobile-computers/handheld/mc40.html,
http://www.motorolasolutions.com/mc45,www.zebra.com/mc45nfc,us/en/products/mobile-computers/handheld/mc45-nfc.html,
http://www.motorolasolutions.com/mc45,www.zebra.com/mc45,us/en/products/mobile-computers/handheld/mc45.html,
www.motorolasolutions.com/mc55a0hc ,www.zebra.com/mc55a0hc ,us/en/products/mobile-computers/handheld/mc55a0-hc.html,
www.motorolasolutions.com/mc55a0,www.zebra.com/mc55a0,us/en/products/mobile-computers/handheld/mc55a0.html,
www.motorolasolutions.com/mc55no,www.zebra.com/mc55no,us/en/products/mobile-computers/handheld/mc55n0.html,
www.motorola.com/mc65,www.zebra.com/mc65,us/en/products/mobile-computers/handheld/mc65.html,
www.motorolasolutions.com/mc75ahf,www.zebra.com/mc75ahf,us/en/products/mobile-computers/handheld/mc75a-hf.html,
 www.motorolasolutions.com/MC75A,www.zebra.com/mc75a,us/en/products/mobile-computers/handheld/mc75a.html,
www.motorola.com/mc75a0hc ,www.zebra.com/mc75a0hc ,us/en/products/mobile-computers/handheld/mc75a0-hc.html,
www.motorola.com/mc9190,www.zebra.com/mc9190,us/en/products/mobile-computers/handheld/mc9190-g.html,
www.motorola.com/mc9190g,www.zebra.com/mc9190g,us/en/products/mobile-computers/handheld/mc9190-g.html,
www.motorolasolutions.com/mc9200,www.zebra.com/mc9200,us/en/products/mobile-computers/handheld/mc9200.html,
www.motorola.com/mc9500,www.zebra.com/mc9500,us/en/products/mobile-computers/handheld/mc9500-k.html,
www.motorola.com/mc9500-K,www.zebra.com/mc9500k,us/en/products/mobile-computers/handheld/mc9500-k.html,
www.motorolasolutions.com/omniixt15,www.zebra.com/omniixt15,us/en/products/mobile-computers/handheld/omnii-xt15.html,
www.motorolasolutions.com/xt15,www.zebra.com/xt15,us/en/products/mobile-computers/handheld/omnii-xt15.html,
www.motorolasolutions.com/sb1hc,www.zebra.com/sb1hc,us/en/products/mobile-computers/handheld/sb1-hc.html,
www.motorolasolutions.com/sb1,www.zebra.com/sb1,us/en/products/mobile-computers/handheld/sb1.html,
http://www.motorolasolutions.com/tc55,www.zebra.com/tc55,us/en/products/mobile-computers/handheld/tc55.html,
http://www.motorolasolutions.com/tc70,www.zebra.com/tc70,us/en/products/mobile-computers/handheld/tc70.html,
www.motorolasolutions.com/workaboutpro4,www.zebra.com/workaboutpro4,us/en/products/mobile-computers/handheld/workabout-pro-4.html,
www.motorolasolutions.com/workaboutpro,www.zebra.com/workaboutpro4,us/en/products/mobile-computers/handheld/workabout-pro-4.html,
www.motorolasolutions.com/workabout,www.zebra.com/workaboutpro4,us/en/products/mobile-computers/handheld/workabout-pro-4.html,
www.motorolasolutions.com/RFD5500,www.zebra.com/mc3190z,us/en/products/mobile-computers/rfid-handhelds/mc3190-z-handheld-rfid-reader.html,
,www.zebra.com/mc9190z,us/en/products/mobile-computers/rfid-handhelds/mc9190-z-rfid.html,
 www.motorolasolutions.com/MC3190Z,www.zebra.com/rfd5500,us/en/products/mobile-computers/rfid-handhelds/rfd5500.html,
www.motorolasolutions.com/forkliftsolution,www.zebra.com/vehiclemountedcomputers,us/en/products/mobile-computers/vehicle-mounted.html,
www.motorolasolutions.com/8515,www.zebra.com/8515,us/en/products/mobile-computers/vehicle-mounted/8515.html,
www.motorolasolutions.com/8585,www.zebra.com/8585,us/en/products/mobile-computers/vehicle-mounted/8585-8595.html,
www.motorolasolutions.com/8595,www.zebra.com/8595,us/en/products/mobile-computers/vehicle-mounted/8585-8595.html,
www.motorolasolutions.com/vc70N0,www.zebra.com/vc70n0,us/en/products/mobile-computers/vehicle-mounted/vc70n0.html,
www.Motorola.com/VH10,www.zebra.com/vh10,us/en/products/mobile-computers/vehicle-mounted/vh10.html,
www.motorolasolutions.com/wearablecomputers,www.zebra.com/wearablecomputers,us/en/products/mobile-computers/wearable-computers.html,
www.motorolasolutions.com/HC1,www.zebra.com/hc1,us/en/products/mobile-computers/wearable-computers/hc1.html,
www.motorolasolutions.com/rch51 ,www.zebra.com/rch51,us/en/products/mobile-computers/wearable-computers/rch51.html,
www.motorolasolutions.com/rs419,www.zebra.com/rs419,us/en/products/mobile-computers/wearable-computers/rs419.html,
www.motorolasolutions.com/rs507,www.zebra.com/rs507,us/en/products/mobile-computers/wearable-computers/rs507.html,
www.motorolasolutions.com/wt41n0vow,www.zebra.com/wt41n0vow,us/en/products/mobile-computers/wearable-computers/wt41n0-vow.html,
www.motorolasolutions.com/wt41n0,www.zebra.com/wt41n0,us/en/products/mobile-computers/wearable-computers/wt41n0.html,
www.motorolasolutions.com/mesh,www.zebra.com/networks,us/en/products/networks.html,
http://www.motorolasolutions.com/narrowband,www.zebra.com/narrowband,us/en/products/networks/narrowband-digital-wireless.html,
http://www.motorolasolutions.com/9160G2,www.zebra.com/9160G2,us/en/products/networks/narrowband-digital-wireless/9160-g2.html,
http://www.motorolasolutions.com/9160G2,www.zebra.com/9160G2,us/en/products/networks/narrowband-digital-wireless/9160-g2.html,
http://www.motorolasolutions.com/US-EN/Business+Product+and+Services/Enterprise+Voice,www.zebra.com/voicehardware,us/en/products/networks/voice-hardware.html,
www.motorolasolutions.com/enterprisevoice,www.zebra.com/enterprisevoice,us/en/products/networks/voice-hardware.html,
www.motorolasolutions.com/ewb100,www.zebra.com/ewb100,us/en/products/networks/voice-hardware/ewb100.html,
,www.zebra.com/radiolink,us/en/products/networks/voice-hardware/radio-link-express.html,
www.motorolasultions.com/oem,www.zebra.com/oem,us/en/products/oem.html,
,www.zebra.com/oemscanengines,us/en/products/oem/oem-engines.html,
,www.zebra.com/oemarrayimager,us/en/products/oem/oem-engines/oem-array-imager-scan-engines.html,
,www.zebra.com/ccscn1,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/ccscn1.html,
www.motorolasolutions.com/pldecoders,www.zebra.com/pldecoderfamily,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/pl-decoder-family.html,
www.motorolasolutions.com/se3300,www.zebra.com/se3300,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se3300.html,
www.motorolasolutions.com/se3317wa,www.zebra.com/se3317wa,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se3317-wa.html,
www.motorolasolutions.com/se4500,www.zebra.com/se4500,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se4500.html,
,www.zebra.com/se4710,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se4710.html,
www.motorolasolutions.com/se4750,www.zebra.com/se4750,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se4750.html,
www.motorolasolutions.com/se6700,www.zebra.com/se6700,us/en/products/oem/oem-engines/oem-array-imager-scan-engines/se6700.html,
,www.zebra.com/oemfixedmountimager,us/en/products/oem/oem-engines/oem-fixed-mount-scannners.html,
,www.zebra.com/oemlaserimager,us/en/products/oem/oem-engines/oem-laser-scan-engines.html,
www.motorolasolutions.com/se1524er,www.zebra.com/se1524er,us/en/products/oem/oem-engines/oem-laser-scan-engines/se1524er.html,
,www.zebra.com/se95x,us/en/products/oem/oem-engines/oem-laser-scan-engines/se95x.html,
www.motorolasolutions.com/se96x,www.zebra.com/se96x,us/en/products/oem/oem-engines/oem-laser-scan-engines/se96x.html,
,www.zebra.com/oemlinearimager,us/en/products/oem/oem-engines/oem-linear-imager-scan-engines.html,
www.motorolasolutions.com/se655,www.zebra.com/se655,us/en/products/oem/oem-engines/oem-linear-imager-scan-engines/se655.html,
,www.zebra.com/softwaredecode,us/en/products/oem/oem-engines/oem-software-decode.html,
www.motorolasolutions.com/sda,www.zebra.com/sda,us/en/products/oem/oem-engines/oem-software-decode/software-decode-for-applications.html,
www.motorolasolutions.com/sdc,www.zebra.com/decodeforcameras,us/en/products/oem/oem-engines/oem-software-decode/software-decode-for-cameras.html,
www.motorolasolutions.com/sdl,"www.zebra.com/decodelibrary
",us/en/products/oem/oem-engines/oem-software-decode/software-decode-library.html,
,www.zebra.com/sdl,us/en/products/oem/oem-engines/oem-software-decode/software-decode-library.html,
,www.zebra.com/oemprivatelabel,us/en/products/oem/oem-private-label.html,
,www.zebra.com/printerparts,us/en/products/parts.html,
,www.zebra.com/desktopprinterparts,us/en/products/parts/desktop-parts.html,
,www.zebra.com/industrialprinterparts,us/en/products/parts/industrial-parts.html,
,www.zebra.com/kioskprinterparts,us/en/products/parts/kiosk-parts.html,
,www.zebra.com/printengineparts,us/en/products/parts/print-engine-parts.html,
,www.zebra.com/rfidprinterparts,us/en/products/parts/rfid-parts.html,
,www.zebra.com/zxpcardprinterparts,us/en/products/parts/zxp-card-parts.html,
,www.zebra.com/printers,us/en/products/printers.html,
,www.zebra.com/cardprinters,us/en/products/printers/card.html,
,www.zebra.com/quickcardid,us/en/products/printers/card/quikcard-id.html,
,www.zebra.com/zxpseries1,us/en/products/printers/card/zxp-series-1.html,
,www.zebra.com/zxpseries3,us/en/products/printers/card/zxp-series-3.html,
,www.zebra.com/zxpseries7,us/en/products/printers/card/zxp-series-7.html,
,www.zebra.com/zxpseries8,us/en/products/printers/card/zxp-series-8.html,
,www.zebra.com/desktopprinters,us/en/products/printers/desktop.html,
,www.zebra.com/industrialprinters,us/en/products/printers/industrial.html,
,www.zebra.com/105slplus,us/en/products/printers/industrial/105sl.html,
,www.zebra.com/xiseries,us/en/products/printers/industrial/xi-series.html,
,www.zebra.com/zt200series,us/en/products/printers/industrial/zt200-series.html,
,www.zebra.com/zt400series,us/en/products/printers/industrial/zt400-series.html,
,www.zebra.com/kioskprinters,us/en/products/printers/kiosk.html,
,www.zebra.com/kr203,us/en/products/printers/kiosk/kr200-series.html,
,www.zebra.com/kr403,us/en/products/printers/kiosk/kr400-series.html,
,www.zebra.com/ttp2000series,us/en/products/printers/kiosk/ttp-2000-series.html,
,www.zebra.com/ttp2100series,us/en/products/printers/kiosk/ttp-2100-series.html,
,www.zebra.com/ttp8000series,us/en/products/printers/kiosk/ttp-8000-series.html,
,www.zebra.com/mobileprinters,us/en/products/printers/mobile.html,
,www.zebra.com/em220ii,us/en/products/printers/mobile/em-220ii.html,
,www.zebra.com/imzseries,us/en/products/printers/mobile/mz-series.html,
,www.zebra.com/p4t,us/en/products/printers/mobile/p4t.html,
,www.zebra.com/qlnserieshealthcare,us/en/products/printers/mobile/qln-series-hc.html,
,www.zebra.com/qlnseries,us/en/products/printers/mobile/qln-series.html,
,www.zebra.com/rwseries,us/en/products/printers/mobile/rw-series.html,
,www.zebra.com/zq110,us/en/products/printers/mobile/zq110.html,
,www.zebra.com/printengines,us/en/products/printers/print-engines.html,
,www.zebra.com/ze500,us/en/products/printers/print-engines/ze500.html,
,www.zebra.com/rfidprinters,us/en/products/printers/rfid.html,
,www.zebra.com/r110xi4,us/en/products/printers/rfid/r110xi4.html,
,www.zebra.com/rpax,us/en/products/printers/rfid/rpax.html,
,www.zebra.com/rzseries,us/en/products/printers/rfid/rz-series.html,
,www.zebra.com/zd500r,us/en/products/printers/rfid/zd500r.html,
,www.zebra.com/ze500r,us/en/products/printers/rfid/ze500r.html,
,www.zebra.com/zt400seriesrfid,us/en/products/printers/rfid/zt400-rfid.html,
www.motorolasolutions.com/rfid,www.zebra.com/rfidtags,us/en/products/rfid.html,
"
http://www.symbol.com/products/rfid-readers/rfid-implementation",www.zebra.com/rfid,us/en/products/rfid.html,
www.motorolasolutions.com/antennas,www.zebra.com/antennas,us/en/products/rfid/rfid-reader-antennas.html,
www.motorolasolutions.com/antennas,www.zebra.com/rfidantennas,us/en/products/rfid/rfid-reader-antennas.html,
,www.zebra.com/an200,us/en/products/rfid/rfid-reader-antennas/an200.html,
,www.zebra.com/an400,us/en/products/rfid/rfid-reader-antennas/an400.html,
www.motorolasolutions.com/an440,www.zebra.com/an440,us/en/products/rfid/rfid-reader-antennas/an440.html,
,www.zebra.com/an480,us/en/products/rfid/rfid-reader-antennas/an480.html,
www.motorolasolutions.com/an610,www.zebra.com/an610,us/en/products/rfid/rfid-reader-antennas/an610.html,
www.motorolasolutions.com/an620,www.zebra.com/an620,us/en/products/rfid/rfid-reader-antennas/an620.html,
,www.zebra.com/an710,us/en/products/rfid/rfid-reader-antennas/an710.html,
,www.zebra.com/an720,us/en/products/rfid/rfid-reader-antennas/an720.html,
,www.zebra.com/rfidreaders,us/en/products/rfid/rfid-readers.html,
www.motorola.com/FX7500,www.zebra.com/fx7500,us/en/products/rfid/rfid-readers/fx7500.html,
www.motorolasolutions.com/fx7500,www.zebra.com/fx7500,us/en/products/rfid/rfid-readers/fx7500.html,
www.motorola.com/FX9500,www.zebra.com/fx9500,us/en/products/rfid/rfid-readers/fx9500.html,
"
www.motorolasolutions.com/fx9500",www.zebra.com/fx9500,us/en/products/rfid/rfid-readers/fx9500.html,
http://www.motorolasolutions.com/9160G2,www.zebra.com/scanners,us/en/products/scanners.html,
www.motorolasolutions.com/mobilebarcodes,www.zebra.com/scanners,us/en/products/scanners.html,
www.motorolasolutions.com/barcodescanners,www.zebra.com/scanners,us/en/products/scanners.html,
www.motorolasolutions.com/barcodescanning,www.zebra.com/scanners,us/en/products/scanners.html,
www.motorolasolutions.com/barcode,www.zebra.com/scanners,us/en/products/scanners.html,
www.motorolasolutions.com/barcodescanners,www.zebra.com/barcodescanners,us/en/products/scanners.html,
